inventory_id,film_id,last_inventory_date
1,1,2001-01-01 00:00:00
2,1,2001-01-01 00:00:00
3,1,2001-01-01 00:00:00
4,1,2001-01-01 00:00:00
5,1,2001-01-01 00:00:00
6,1,2001-01-01 00:00:00
7,1,2001-01-01 00:00:00
8,1,2001-01-01 00:00:00
9,2,2001-01-01 00:00:00
10,2,2001-01-01 00:00:00
11,2,2001-01-01 00:00:00
12,3,2001-01-01 00:00:00
13,3,2001-01-01 00:00:00
14,3,2001-01-01 00:00:00
15,3,2001-01-01 00:00:00
16,4,2001-01-01 00:00:00
17,4,2001-01-01 00:00:00
18,4,2001-01-01 00:00:00
19,4,2001-01-01 00:00:00
20,4,2001-01-01 00:00:00
21,4,2001-01-01 00:00:00
22,4,2001-01-01 00:00:00
23,5,2001-01-01 00:00:00
24,5,2001-01-01 00:00:00
25,5,2001-01-01 00:00:00
26,6,2001-01-01 00:00:00
27,6,2001-01-01 00:00:00
28,6,2001-01-01 00:00:00
29,6,2001-01-01 00:00:00
30,6,2001-01-01 00:00:00
31,6,2001-01-01 00:00:00
32,7,2001-01-01 00:00:00
33,7,2001-01-01 00:00:00
34,7,2001-01-01 00:00:00
35,7,2001-01-01 00:00:00
36,7,2001-01-01 00:00:00
37,8,2001-01-01 00:00:00
38,8,2001-01-01 00:00:00
39,8,2001-01-01 00:00:00
40,8,2001-01-01 00:00:00
41,9,2001-01-01 00:00:00
42,9,2001-01-01 00:00:00
43,9,2001-01-01 00:00:00
44,9,2001-01-01 00:00:00
45,9,2001-01-01 00:00:00
46,10,2001-01-01 00:00:00
47,10,2001-01-01 00:00:00
48,10,2001-01-01 00:00:00
49,10,2001-01-01 00:00:00
50,10,2001-01-01 00:00:00
51,10,2001-01-01 00:00:00
52,10,2001-01-01 00:00:00
53,11,2001-01-01 00:00:00
54,11,2001-01-01 00:00:00
55,11,2001-01-01 00:00:00
56,11,2001-01-01 00:00:00
57,11,2001-01-01 00:00:00
58,11,2001-01-01 00:00:00
59,11,2001-01-01 00:00:00
60,12,2001-01-01 00:00:00
61,12,2001-01-01 00:00:00
62,12,2001-01-01 00:00:00
63,12,2001-01-01 00:00:00
64,12,2001-01-01 00:00:00
65,12,2001-01-01 00:00:00
66,12,2001-01-01 00:00:00
67,13,2001-01-01 00:00:00
68,13,2001-01-01 00:00:00
69,13,2001-01-01 00:00:00
70,13,2001-01-01 00:00:00
71,15,2001-01-01 00:00:00
72,15,2001-01-01 00:00:00
73,15,2001-01-01 00:00:00
74,15,2001-01-01 00:00:00
75,15,2001-01-01 00:00:00
76,15,2001-01-01 00:00:00
77,16,2001-01-01 00:00:00
78,16,2001-01-01 00:00:00
79,16,2001-01-01 00:00:00
80,16,2001-01-01 00:00:00
81,17,2001-01-01 00:00:00
82,17,2001-01-01 00:00:00
83,17,2001-01-01 00:00:00
84,17,2001-01-01 00:00:00
85,17,2001-01-01 00:00:00
86,17,2001-01-01 00:00:00
87,18,2001-01-01 00:00:00
88,18,2001-01-01 00:00:00
89,18,2001-01-01 00:00:00
90,18,2001-01-01 00:00:00
91,18,2001-01-01 00:00:00
92,18,2001-01-01 00:00:00
93,19,2001-01-01 00:00:00
94,19,2001-01-01 00:00:00
95,19,2001-01-01 00:00:00
96,19,2001-01-01 00:00:00
97,19,2001-01-01 00:00:00
98,19,2001-01-01 00:00:00
99,20,2001-01-01 00:00:00
100,20,2001-01-01 00:00:00
101,20,2001-01-01 00:00:00
102,21,2001-01-01 00:00:00
103,21,2001-01-01 00:00:00
104,21,2001-01-01 00:00:00
105,21,2001-01-01 00:00:00
106,21,2001-01-01 00:00:00
107,21,2001-01-01 00:00:00
108,22,2001-01-01 00:00:00
109,22,2001-01-01 00:00:00
110,22,2001-01-01 00:00:00
111,22,2001-01-01 00:00:00
112,22,2001-01-01 00:00:00
113,22,2001-01-01 00:00:00
114,22,2001-01-01 00:00:00
115,23,2001-01-01 00:00:00
116,23,2001-01-01 00:00:00
117,23,2001-01-01 00:00:00
118,23,2001-01-01 00:00:00
119,23,2001-01-01 00:00:00
120,24,2001-01-01 00:00:00
121,24,2001-01-01 00:00:00
122,24,2001-01-01 00:00:00
123,24,2001-01-01 00:00:00
124,25,2001-01-01 00:00:00
125,25,2001-01-01 00:00:00
126,25,2001-01-01 00:00:00
127,25,2001-01-01 00:00:00
128,25,2001-01-01 00:00:00
129,25,2001-01-01 00:00:00
130,26,2001-01-01 00:00:00
131,26,2001-01-01 00:00:00
132,26,2001-01-01 00:00:00
133,26,2001-01-01 00:00:00
134,26,2001-01-01 00:00:00
135,27,2001-01-01 00:00:00
136,27,2001-01-01 00:00:00
137,27,2001-01-01 00:00:00
138,27,2001-01-01 00:00:00
139,28,2001-01-01 00:00:00
140,28,2001-01-01 00:00:00
141,28,2001-01-01 00:00:00
142,29,2001-01-01 00:00:00
143,29,2001-01-01 00:00:00
144,30,2001-01-01 00:00:00
145,30,2001-01-01 00:00:00
146,31,2001-01-01 00:00:00
147,31,2001-01-01 00:00:00
148,31,2001-01-01 00:00:00
149,31,2001-01-01 00:00:00
150,31,2001-01-01 00:00:00
151,31,2001-01-01 00:00:00
152,31,2001-01-01 00:00:00
153,31,2001-01-01 00:00:00
154,32,2001-01-01 00:00:00
155,32,2001-01-01 00:00:00
156,34,2001-01-01 00:00:00
157,34,2001-01-01 00:00:00
158,34,2001-01-01 00:00:00
159,34,2001-01-01 00:00:00
160,35,2001-01-01 00:00:00
161,35,2001-01-01 00:00:00
162,35,2001-01-01 00:00:00
163,35,2001-01-01 00:00:00
164,35,2001-01-01 00:00:00
165,35,2001-01-01 00:00:00
166,35,2001-01-01 00:00:00
167,37,2001-01-01 00:00:00
168,37,2001-01-01 00:00:00
169,37,2001-01-01 00:00:00
170,37,2001-01-01 00:00:00
171,37,2001-01-01 00:00:00
172,37,2001-01-01 00:00:00
173,37,2001-01-01 00:00:00
174,39,2001-01-01 00:00:00
175,39,2001-01-01 00:00:00
176,39,2001-01-01 00:00:00
177,39,2001-01-01 00:00:00
178,39,2001-01-01 00:00:00
179,39,2001-01-01 00:00:00
180,39,2001-01-01 00:00:00
181,40,2001-01-01 00:00:00
182,40,2001-01-01 00:00:00
183,40,2001-01-01 00:00:00
184,40,2001-01-01 00:00:00
185,42,2001-01-01 00:00:00
186,42,2001-01-01 00:00:00
187,42,2001-01-01 00:00:00
188,42,2001-01-01 00:00:00
189,43,2001-01-01 00:00:00
190,43,2001-01-01 00:00:00
191,43,2001-01-01 00:00:00
192,43,2001-01-01 00:00:00
193,43,2001-01-01 00:00:00
194,43,2001-01-01 00:00:00
195,43,2001-01-01 00:00:00
196,44,2001-01-01 00:00:00
197,44,2001-01-01 00:00:00
198,44,2001-01-01 00:00:00
199,44,2001-01-01 00:00:00
200,44,2001-01-01 00:00:00
201,45,2001-01-01 00:00:00
202,45,2001-01-01 00:00:00
203,45,2001-01-01 00:00:00
204,45,2001-01-01 00:00:00
205,45,2001-01-01 00:00:00
206,45,2001-01-01 00:00:00
